Filename,Page,Ground truth,Prediction
Berichte_NAB_08-021_289.pdf,1,unknown,table
28704_1.pdf,1,title_page,title_page
20170_13.pdf,1,map,map
32740_1.pdf,1,title_page,title_page
44179_108.pdf,1,text,map
43283_56.pdf,1,map,map
28659_11.pdf,1,boreprofile,unknown
44159_23.pdf,1,unknown,unknown
17939_13.pdf,1,map,diagram
1677_51.pdf,1,diagram,diagram
21677_1.pdf,1,title_page,title_page
18774_2.pdf,1,section_header,section_header
16617_19.pdf,1,boreprofile,boreprofile
10299_17.pdf,1,unknown,section_header
1801_51.pdf,1,unknown,section_header
1801_45.pdf,1,diagram,diagram
28134_2.pdf,1,unknown,unknown
476_1.pdf,1,title_page,title_page
38848_18.pdf,1,text,text
31042_46.pdf,1,unknown,map
1630_79.pdf,1,map,map
44179_109.pdf,1,text,text
38972_1.pdf,1,title_page,title_page
20655_30.pdf,1,map,map
29192_249.pdf,1,boreprofile,boreprofile
1860_5.pdf,1,map,map
1801_4.pdf,1,text,text
8583_5.pdf,1,table,table
1801_5.pdf,1,text,text
44179_95.pdf,1,unknown,unknown
1630_393.pdf,1,section_header,section_header
440_02_1.pdf,1,title_page,title_page
Berichte_NAB_08-025_EWS_3.pdf,1,section_header,section_header
a2607_2607_LDoc_1.pdf,1,text,text
1432_4.pdf,1,map,map
43283_46.pdf,1,boreprofile,boreprofile
24911_6.pdf,1,map,map
NAB_12-051_52.pdf,1,unknown,unknown
4828_19.pdf,1,map,map
1860_6.pdf,1,map,map
1801_7.pdf,1,text,text
44179_97.pdf,1,unknown,unknown
30789_2.pdf,1,boreprofile,boreprofile
16617_22.pdf,1,table,table
11380_8.pdf,1,text,text
19321_41.pdf,1,boreprofile,boreprofile
24131_32.pdf,1,text,text
32987_9.pdf,1,table,boreprofile
24911_5.pdf,1,text,text
29192_26.pdf,1,text,text
24279-24282_179.pdf,1,map,map
34239_1.pdf,1,section_header,section_header
31139_10.pdf,1,unknown,map
22367_1.pdf,1,title_page,title_page
39019_44.pdf,1,table,table
44039_1.pdf,1,title_page,title_page
24131_28.pdf,1,table,table
22224_1.pdf,1,title_page,title_page
16448_2.pdf,1,boreprofile,boreprofile
1801_8.pdf,1,text,text
1801_65.pdf,1,diagram,diagram
ntb88-007_24.pdf,1,text,text
34239_3.pdf,1,text,text
10299_3.pdf,1,text,text
20170_19.pdf,1,unknown,map
19321_66.pdf,1,geo_profile,geo_profile
10122_1.pdf,1,section_header,map
44159_184.pdf,1,map,map
29192_20.pdf,1,text,text
32987_11.pdf,1,table,unknown
39789_19.pdf,1,diagram,map
29192_240.pdf,1,boreprofile,boreprofile
32987_39.pdf,1,map,geo_profile
24911_18.pdf,1,unknown,map
18774_22.pdf,1,boreprofile,boreprofile
21056_52.pdf,1,text,text
27898_26.pdf,1,text,text
10299_32.pdf,1,map,map
ntb88-007_248.pdf,1,text,text
44159_208.pdf,1,table,table
11380_2.pdf,1,section_header,section_header
35613_26.pdf,1,text,text
31626_1.pdf,1,title_page,title_page
35613_24.pdf,1,text,text
10122_6.pdf,1,unknown,map
33435_1.pdf,1,title_page,title_page
31800_29.pdf,1,geo_profile,geo_profile
1801_77.pdf,1,diagram,diagram
31800_28.pdf,1,map,map
10299_31.pdf,1,unknown,unknown
742_7.pdf,1,boreprofile,boreprofile
19462_2.pdf,1,section_header,section_header
29192_242.pdf,1,boreprofile,boreprofile
NTB_07-01_1.pdf,1,section_header,unknown
28777_1.pdf,1,unknown,title_page
1799_3.pdf,1,map,map
24279-24282_23.pdf,1,text,text
1801_11.pdf,1,text,text
2121_10.pdf,1,text,text
43283_16.pdf,1,text,text
39715_56.pdf,1,map,text
44179_148.pdf,1,table,table
25076_161.pdf,1,text,section_header
2001_2.pdf,1,section_header,section_header
1630_114.pdf,1,geo_profile,map
28366_2.pdf,1,section_header,section_header
13766_1.pdf,1,title_page,title_page
24361_28.pdf,1,map,map
1630_303.pdf,1,text,text
11613_7.pdf,1,boreprofile,boreprofile
18605_5.pdf,1,text,section_header
ntb88-007_158.pdf,1,text,text
39789_2.pdf,1,section_header,section_header
25076_160.pdf,1,text,unknown
2001_7.pdf,1,section_header,section_header
1801_206.pdf,1,diagram,diagram
28941_7.pdf,1,table,table
1630_110.pdf,1,map,map
2155_112.pdf,1,boreprofile,boreprofile
29192_236.pdf,1,boreprofile,boreprofile
44179_166.pdf,1,unknown,unknown
32526_20.pdf,1,boreprofile,boreprofile
4455_29.pdf,1,diagram,diagram
29192_234.pdf,1,boreprofile,boreprofile
24365_1.pdf,1,title_page,title_page
16770_10.pdf,1,section_header,section_header
1630_113.pdf,1,unknown,diagram
250_3.pdf,1,diagram,diagram
1801_199.pdf,1,unknown,unknown
28366_53.pdf,1,text,text
18605_3.pdf,1,text,text
29192_235.pdf,1,boreprofile,boreprofile
32526_21.pdf,1,boreprofile,boreprofile
1275_2.pdf,1,title_page,title_page
